index,path,x,y,field,group,value,type
6, 4, 44.465820538030634, 583.2906086909641, Filipino, undefined, 1, link 
6, 5, 54.01836436074714, 600.4595525548484, Filipino, undefined, 1, link 
6, 6, 82.75200200348772, 478.1875230441741, Filipino, undefined, 1, link 
6, 7, 10.191445418706436, 489.52463846309564, Filipino, undefined, 1, link 
7, 0, 0.2013830467259935, 387.3088266007728, Pakistani, undefined, 1, link 
7, 1, 0.20138304672599353, 412.69117339922707, Pakistani, undefined, 1, link 
7, 2, 1.811230970766189, 438.0224173216732, Pakistani, undefined, 1, link 
7, 3, 5.024444529442239, 463.20055838933996, Pakistani, undefined, 1, link 
7, 4, 9.828085245837212, 488.12421311461634, Pakistani, undefined, 1, link 
7, 5, 10.191445418706458, 489.5246384630957, Pakistani, undefined, 1, link 
7, 6, 82.75200200348772, 478.1875230441741, Pakistani, undefined, 1, link 
7, 7, 91.66145346193863, 460.5905976485251, Pakistani, undefined, 1, link 
7, 8, 0.9671880213012116, 375.258748877094, Pakistani, undefined, 1, link 
7, 9, 0.2013830467259935, 387.3088266007728, Pakistani, undefined, 1, link 
8, 0, 792.7714789050825, 324.29950225583525, Mongolian, undefined, 0, link 
8, 1, 787.1794805585424, 299.54080512756786, Mongolian, undefined, 0, link 
8, 2, 780.0284470963779, 275.1866217206046, Mongolian, undefined, 0, link 
8, 3, 774.926092628486, 261.1680180340183, Mongolian, undefined, 0, link 
8, 4, 749.1702505798935, 312.8424374052292, Mongolian, undefined, 0, link 
8, 5, 794.2672034825746, 333.6471197592519, Mongolian, undefined, 0, link 
8, 6, 792.7714789050825, 324.29950225583525, Mongolian, undefined, 0, link 
9, 0, 722.1081030124233, 637.1631716218565, Burmese, undefined, 0, link 
9, 1, 736.5014131324724, 616.2563269822391, Burmese, undefined, 0, link 
9, 2, 749.5397508279138, 594.4786944401877, Burmese, undefined, 0, link 
9, 3, 750.8682908204947, 591.9016863789562, Burmese, undefined, 0, link 
9, 4, 693.7070693551525, 599.1651983216539, Burmese, undefined, 0, link 
9, 5, 714.4373394198378, 646.9173410109596, Burmese, undefined, 0, link 
9, 6, 722.1081030124233, 637.1631716218565, Burmese, undefined, 0, link 
10, 0, 749.1702505798935, 312.8424374052292, Other Asian/Unspecified, undefined, 19, link 
10, 1, 774.926092628486, 261.16801803401825, Other Asian/Unspecified, undefined, 19, link 
10, 2, 771.3471732064289, 251.335017735869, Other Asian/Unspecified, undefined, 19, link 
10, 3, 761.1706153146481, 228.08203516433042, Other Asian/Unspecified, undefined, 19, link 
10, 4, 749.5397508279145, 205.52130555981347, Other Asian/Unspecified, undefined, 19, link 
10, 5, 736.501413132472, 183.7436730177603, Other Asian/Unspecified, undefined, 19, link 
10, 6, 722.1081030124228, 162.83682837814303, Other Asian/Unspecified, undefined, 19, link 
10, 7, 706.4177772475913, 142.8849561253843, Other Asian/Unspecified, undefined, 19, link 
10, 8, 689.4936152420281, 123.96839540715528, Other Asian/Unspecified, undefined, 19, link 
10, 9, 671.403764622853, 106.16331653698683, Other Asian/Unspecified, undefined, 19, link 
10, 10, 652.2210668338089, 89.54141428329703, Other Asian/Unspecified, undefined, 19, link 
10, 11, 632.0227638284798, 74.16961917986616, Other Asian/Unspecified, undefined, 19, link 
10, 12, 610.8901870442005, 60.10982802019395, Other Asian/Unspecified, undefined, 19, link 
10, 13, 588.9084299090734, 47.418654620967345, Other Asian/Unspecified, undefined, 19, link 
10, 14, 566.1660052007546, 36.14720185819268, Other Asian/Unspecified, undefined, 19, link 
10, 15, 542.7544886367483, 26.340855893957148, Other Asian/Unspecified, undefined, 19, link 
10, 16, 534.5374668120277, 23.496916989860118, Other Asian/Unspecified, undefined, 19, link 
10, 17, 410.6383073093448, 192.64584363029093, Other Asian/Unspecified, undefined, 19, link 
10, 18, 423.14521502875454, 290.1696717565449, Other Asian/Unspecified, undefined, 19, link 
10, 19, 631.126292790962, 365.8008795157558, Other Asian/Unspecified, undefined, 19, link 
10, 20, 749.1702505798935, 312.8424374052292, Other Asian/Unspecified, undefined, 19, link 
-1,,0,0,-1,,,
-2,,800,0,-1,,,
-3,,0,800,-1,,,
-4,,800,800,-1,,,
